0,0
1,1
2,1.4142135624
3,1.7320508076
4,2
5,2.2360679775
6,2.4494897428
7,2.6457513111
8,2.8284271247
9,3
10,3.1622776602
11,3.3166247904
12,3.4641016151
13,3.6055512755
14,3.7416573868
15,3.8729833462
16,4
17,4.1231056256
18,4.2426406871
19,4.3588989435
20,4.472135955
21,4.582575695
22,4.6904157598
23,4.7958315233
24,4.8989794856
25,5
26,5.0990195136
27,5.1961524227
28,5.2915026221
29,5.3851648071
30,5.4772255751
31,5.5677643628
32,5.6568542495
33,5.7445626465
34,5.8309518948
35,5.9160797831
36,6
37,6.0827625303
38,6.164414003
39,6.2449979984
40,6.3245553203
41,6.4031242374
42,6.4807406984
43,6.5574385243
44,6.6332495807
45,6.7082039325
46,6.7823299831
47,6.8556546004
48,6.9282032303
49,7
50,7.0710678119
51,7.1414284285
52,7.2111025509
53,7.2801098893
54,7.3484692283
55,7.4161984871
56,7.4833147735
57,7.5498344353
58,7.6157731059
59,7.6811457479
60,7.7459666924
61,7.8102496759
62,7.874007874
63,7.9372539332
64,8
65,8.0622577483
66,8.1240384046
67,8.1853527719
68,8.2462112512
69,8.3066238629
70,8.3666002653
71,8.4261497732
72,8.4852813742
73,8.5440037453
74,8.602325267
75,8.6602540378
76,8.7177978871
77,8.7749643874
78,8.8317608663
79,8.8881944173
80,8.94427191
81,9
82,9.0553851381
83,9.1104335791
84,9.1651513899
85,9.2195444573
86,9.2736184955
87,9.3273790531
88,9.3808315196
89,9.4339811321
90,9.4868329805
91,9.5393920142
92,9.5916630466
93,9.643650761
94,9.6953597148
95,9.7467943448
96,9.7979589711
97,9.8488578018
98,9.8994949366
99,9.9498743711
100,10
